,core,ligands
BAKNIM,Zn,ligand12-0 ligand12-0 ligand14025-0
KEQFAO,Pd,ligand31483-0
RESJIM,Mo,ligand55-0 ligand55-0 ligand13904-0
ETESUR,Pd,ligand0-0 ligand91-0 ligand22236-1
ACESEG,Mo,ligand36-0 ligand36-0 ligand36-0 ligand36-0 ligand36-0 ligand221-0
CETFEP,Zn,ligand12-0 ligand28144-0 ligand28145-0 ligand28145-0
DEHXUN,Os,ligand11-0 ligand20-0 ligand28-0 ligand36684-0
POFVEM,Pd,ligand1609-0 ligand1609-0
UHEHUK,Zr,ligand0-0 ligand0-0 ligand10582-0 ligand10582-0
TIPFEE,Pt,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand1410-0 ligand1410-0
MOHPOQ,Pd,ligand0-0 ligand10357-0
KIBWAU,Pt,ligand0-0 ligand0-0 ligand17601-0 ligand17601-0
PEWHEG,Fe,ligand47-0 ligand2667-0
UYEZEG,Mn,ligand11-0 ligand11-0 ligand11-0 ligand2159-0
NAYVUG,Ni,ligand2736-0 ligand23232-0
JIZNUF,Sc,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand29-0
IJOMOL,Ni,ligand26467-0
XEMSOY,Pd,ligand20-0 ligand30150-0
BACTEH,Au,ligand0-0 ligand9751-0
GEVKAX,Zn,ligand36443-0 ligand36443-0
XIRDOR,Rh,ligand11-0 ligand12-0 ligand61-0 ligand73-0
IDARIQ,Zn,ligand583-0 ligand583-0 ligand1228-0 ligand1228-0
KISYUG,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand13121-0
WECWOQ,Ti,ligand68-0 ligand68-0 ligand1270-0
CAPPES,Pt,ligand12-0 ligand12-0 ligand4659-0
XUGTAX,Pd,ligand0-0 ligand0-0 ligand30917-0 ligand30918-0
HOSLOS,Co,ligand1593-0 ligand1594-0
BOGPIW,Fe,ligand11-0 ligand11-0 ligand22-0 ligand3491-0
COJROJ,Rh,ligand11-0 ligand11-0 ligand588-0
PIGLAU,Au,ligand0-0 ligand12083-0
SEDREB,Pd,ligand28-0 ligand15404-0
XOYBES,Fe,ligand11-0 ligand11-0 ligand22-0 ligand659-0
MABDEB,Pd,ligand0-0 ligand0-0 ligand7472-0
BEGRAJ,Ni,ligand20-0 ligand22-0 ligand33277-0
VEFHAR,Pt,ligand19203-0
TABWAU,Ta,ligand0-0 ligand0-0 ligand22-0 ligand26879-0
KEGCEE,Ru,ligand0-0 ligand52-0 ligand37309-0
YIVTUS,Mo,ligand0-0 ligand0-0 ligand26226-0
IJOTAE,Cd,ligand12-0 ligand12-0 ligand170-0 ligand170-0
MUHGIG,Rh,ligand61-0 ligand2668-0
IGILUH,Pt,ligand191-0 ligand19146-0
PIVNAM,Rh,ligand191-0 ligand3616-0
LUFPIO,Pt,ligand20-0 ligand20-0 ligand774-0 ligand834-0 ligand834-0
OZATIT,Fe,ligand0-0 ligand22-0 ligand2974-0
FIXYER,Ni,ligand6-0 ligand864-0 ligand11381-0
QIFXAE,Ru,ligand59-0 ligand59-0 ligand22475-0
BOQBOZ,Ti,ligand305-0 ligand305-0 ligand9852-0 ligand9852-0
PUYCAN,Ta,ligand36-0 ligand36-0 ligand36-0 ligand27734-0
REZCAA,Au,ligand28-0 ligand34290-0
MAKJIU,Pd,ligand441-0 ligand441-0 ligand836-0 ligand837-0
ZAWTAW,Zn,ligand209-0 ligand29387-0
KUGVIS,Cu,ligand0-0 ligand5484-0 ligand5484-0
KIBLUE,Pd,ligand12-0 ligand12-0 ligand631-0
YIJFOQ,Co,ligand12-0 ligand61-0 ligand1996-0
AKOPEW,Ni,ligand718-0 ligand3724-0
LEXDEY,Pd,ligand0-0 ligand0-0 ligand29292-0
CEPJOX,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand25192-0
MINDES,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand18449-0
SANDEQ,Pd,ligand90-0 ligand3741-0
OLUPUH,Au,ligand0-0 ligand0-0 ligand0-0 ligand7189-0
DEGNOU,Ni,ligand91-0 ligand1632-0
WOLQAR,Ru,ligand0-0 ligand24-0 ligand5213-0
BAMDAY,Fe,ligand12-0 ligand12-0 ligand37324-0
TOLXAT,Mo,ligand11-0 ligand11-0 ligand16-0 ligand15217-0
TAFRAU,Pt,ligand136-0 ligand2670-0 ligand2670-0
TARMUU,Ag,ligand28-0 ligand25715-0
XIWWUY,Au,ligand0-0 ligand2659-0
DUJWIR,Zn,ligand933-0 ligand933-0 ligand3926-0
TEQYOF,Au,ligand0-0 ligand0-0 ligand0-0 ligand28889-0
TIYMUM,Ni,ligand0-0 ligand3241-0
KILYOV,Re,ligand11-0 ligand11-0 ligand11-0 ligand24775-0
VAJMEA,Cu,ligand15637-0
EJITOI,Pd,ligand0-0 ligand0-0 ligand880-0 ligand6986-0
QOHHOM,Pd,ligand0-0 ligand0-0 ligand26814-0
TEKDAO,Pt,ligand0-0 ligand0-0 ligand344-0 ligand25978-0
WOYVAJ,Ir,ligand0-0 ligand191-0 ligand19147-0
CAKGAZ,Zn,ligand19756-0 ligand19756-1
TAMJIB,Au,ligand115-0 ligand438-0
ORUFOZ,Rh,ligand0-0 ligand61-0 ligand37238-0
AFUDAH,Ni,ligand12-0 ligand718-0
WIZCOY,Ru,ligand11-0 ligand22-0 ligand28-0 ligand10372-0
PETZEV,Fe,ligand131-0 ligand131-0 ligand2600-0
MULLEK,Rh,ligand191-0 ligand36068-0
DONKAU,Ir,ligand11-0 ligand1797-0 ligand9656-0
MIFYOR,Re,ligand11-0 ligand11-0 ligand11-0 ligand18365-0
CESMUJ,Au,ligand0-0 ligand0-0 ligand2399-0
MIYRER,Ni,ligand692-0 ligand19092-0
FEVROQ,Ni,ligand0-0 ligand344-0 ligand344-0 ligand3658-0
TILQAG,Rh,ligand0-0 ligand0-0 ligand3303-0 ligand3303-0
WEPJAC,Ni,ligand30728-0
FOFMUJ,Mo,ligand22-0 ligand22-0 ligand24803-0
GITCUH,Zn,ligand20-0 ligand20-0 ligand91-0 ligand91-0
AQAYIA,Ru,ligand0-0 ligand0-0 ligand28-0 ligand19324-0
CABYIN,Ru,ligand0-0 ligand24-0 ligand1410-0 ligand1410-0
BUQKAA,Ir,ligand0-0 ligand0-0 ligand0-0 ligand571-0 ligand8247-0 ligand8247-0
WADDOY,Mn,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand28-0
LODHER,Y,ligand22-0 ligand22-0 ligand20346-0
YOSNOK,Ir,ligand52-0 ligand52-0 ligand538-0 ligand680-0
UGUFOT,Rh,ligand12-0 ligand12-0 ligand36-0 ligand4269-0
HEHYAX,Zn,ligand136-0 ligand9415-0
IKULIM,Cu,ligand8-0 ligand6175-0
OVODUZ,Co,ligand25588-0 ligand25588-0
OWAFUO,Pd,ligand0-0 ligand2723-0
DUGRII,Pt,ligand12-0 ligand12-0 ligand293-0 ligand7798-0 ligand25086-0
EMOLIB,Zr,ligand36-0 ligand52-0 ligand61-0 ligand5907-0
ITOPEO,Pd,ligand0-0 ligand16877-0
MEDMIV,Pd,ligand0-0 ligand0-0 ligand19014-0
LUGZAP,Pd,ligand20-0 ligand39-0 ligand198-0
TUMLEU,Rh,ligand11-0 ligand12-0 ligand12-0 ligand36-0 ligand20203-0
HENVUS,Rh,ligand924-0 ligand1281-0 ligand28201-0
KINXIS,Re,ligand0-0 ligand60-0 ligand1414-0 ligand5123-0
KAXBAM,Zr,ligand0-0 ligand0-0 ligand61-0 ligand736-0
XAZCUX,Pd,ligand39-0 ligand15853-0
ZUDQIB,Co,ligand28176-0 ligand28176-0 ligand28176-0
UZITAB,Ru,ligand0-0 ligand0-0 ligand24-0 ligand2713-0
AZOGIF,Zn,ligand0-0 ligand0-0 ligand107-0 ligand538-0
ZELGEE,Rh,ligand11-0 ligand12-0 ligand76-0 ligand22814-0
QEWQIS,Ir,ligand61-0 ligand2870-0 ligand5968-0
CAGQEH,Pd,ligand89-0 ligand29267-0
PAJQIA,Pt,ligand234-0 ligand344-0 ligand344-0 ligand695-0
WAGFIV,Cu,ligand1343-0 ligand6992-0
ZACYIP,Ni,ligand20-0 ligand23440-0
GIXYER,Co,ligand6-0 ligand6-0 ligand6-0 ligand52-0 ligand10971-0
XEWBUX,Au,ligand0-0 ligand3762-0 ligand11549-0
CISTAC,Ru,ligand29-0 ligand631-0 ligand632-0
SOLTIW,Au,ligand8060-0 ligand8060-0
WIPSUJ,Zn,ligand37566-0
FUPMIN,Ir,ligand11-0 ligand52-0 ligand349-0 ligand472-0
OGAHOT,W,ligand59-0 ligand2393-0 ligand2393-0 ligand2393-0
HAZVUZ,Pd,ligand0-0 ligand0-0 ligand10654-0
ZOBKAF,Au,ligand777-0 ligand12057-0
HUGZUH,Ni,ligand0-0 ligand0-0 ligand1010-0
QASWOY,Re,ligand11-0 ligand11-0 ligand11-0 ligand358-0 ligand5968-0
IXUVEC,Pt,ligand0-0 ligand12153-0 ligand12153-0 ligand12154-0
RUQNEW,V,ligand8256-0 ligand8256-0 ligand8256-0
NEXCID,Zn,ligand382-0 ligand4620-0
PEZFUX,Co,ligand136-0 ligand136-0 ligand4666-0 ligand4666-0
HIPBUE,Pt,ligand0-0 ligand32815-0
PEPQIM,Zn,ligand20-0 ligand20-0 ligand20-0 ligand11298-0
BAZBEL,Pt,ligand695-0 ligand695-0 ligand3756-0
UJEWIQ,Pd,ligand28-0 ligand9587-0
MUCQOT,Pd,ligand0-0 ligand0-0 ligand35965-0
AROSUV,Au,ligand28-0 ligand854-0
QIYVUP,Pd,ligand0-0 ligand0-0 ligand23019-0
DOYTIV,Pd,ligand12-0 ligand12-0 ligand9297-0
ISAPUO,Rh,ligand0-0 ligand52-0 ligand2736-0
EHEXIA,Au,ligand0-0 ligand0-0 ligand0-0 ligand10157-0
GAJVIX,Pd,ligand14-0 ligand301-0 ligand6144-0
YIJVIZ,Au,ligand28-0 ligand4727-0
LUSPOF,Cd,ligand36-0 ligand1809-0
QUDWES,Ru,ligand90-0 ligand90-0 ligand191-0
DAQVEX,Re,ligand55-0 ligand55-0 ligand55-0 ligand107-0 ligand3420-0
ZORCIV,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand22624-0
KIRXOA,Pd,ligand36-0 ligand40-0 ligand20777-0
QIDYEH,Zr,ligand36-0 ligand36-0 ligand7543-0
NICXAZ,Au,ligand20-0 ligand20-0 ligand20-0 ligand948-0
JABXIU,Ir,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand571-0 ligand664-0
NEYYEX,Cu,ligand188-0 ligand188-0
HISGUL,Pt,ligand571-0 ligand571-0 ligand1190-0
PIHVOS,Ir,ligand12-0 ligand191-0 ligand5971-0
VIHCIY,Ti,ligand0-0 ligand0-0 ligand10650-0 ligand10650-0
VUTXUF,Re,ligand115-0 ligand115-0 ligand115-0 ligand130-0 ligand847-0
SETMOW,Zn,ligand0-0 ligand0-0 ligand8451-0
MAMPEW,Co,ligand11-0 ligand11-0 ligand251-0 ligand514-0
DERGAI,Mo,ligand55-0 ligand55-0 ligand2005-0 ligand2005-0
TUNNAR,Zr,ligand36-0 ligand36-0 ligand61-0 ligand14702-0
KAHTAR,Ni,ligand0-0 ligand0-0 ligand36812-0 ligand36812-0
RATPAE,Ta,ligand0-0 ligand0-0 ligand91-0 ligand91-0 ligand305-0 ligand24607-0
ZIZGEX,Zn,ligand20-0 ligand20-0 ligand1714-0
NUQFAJ,Fe,ligand61-0 ligand32676-0
JASZIM,Fe,ligand11-0 ligand11-0 ligand11-0 ligand34902-0
HONQAD,Zr,ligand1509-0 ligand1509-0 ligand1509-0 ligand1509-0
OCEPAQ,Pd,ligand0-0 ligand0-0 ligand28-0 ligand35908-0
LURZEF,Rh,ligand11-0 ligand11-0 ligand2308-0
DEPZUX,Pt,ligand36-0 ligand2553-0 ligand16896-0
PIYTOK,Pt,ligand9849-0
WEHHAW,Pt,ligand0-0 ligand12800-0
XUXZUM,Au,ligand0-0 ligand33962-0
TIHSEI,Ti,ligand20-0 ligand20-0 ligand20-0 ligand20-0 ligand567-0 ligand567-0
TOHTIV,Zn,ligand20-0 ligand274-0 ligand19485-0
QOKMOS,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand2930-0
TUVWUC,Pd,ligand14445-0 ligand24208-0
SUSHET,Ru,ligand10-0 ligand22-0 ligand695-0
XUCQAO,Pt,ligand28-0 ligand28-0 ligand8872-0
YAPMEL,Rh,ligand0-0 ligand61-0 ligand30784-0
BUSVUG,Pd,ligand24432-0 ligand24433-0
PUDWES,Re,ligand11-0 ligand11-0 ligand11-0 ligand274-0 ligand5945-0
OVAHAW,Ru,ligand0-0 ligand136-0 ligand15519-0
YOCFED,Co,ligand2205-0 ligand2206-0
IWEFUN,V,ligand55-0 ligand55-0 ligand17662-0
RUKTOG,Ru,ligand52-0 ligand52-0 ligand330-0 ligand330-0
FAJVIX,Pd,ligand4825-0 ligand4826-0
QIHVOS,Au,ligand0-0 ligand0-0 ligand0-0 ligand1257-0
JIXCEC,Ni,ligand21827-0
RUCPIP,Pt,ligand0-0 ligand0-0 ligand571-0 ligand572-0
PEYQIV,Au,ligand0-0 ligand1244-0
TOKHEI,Pt,ligand245-0 ligand10398-0
HUXCAG,Pd,ligand0-0 ligand0-0 ligand15720-0
NIDCUA,Pt,ligand0-0 ligand16-0 ligand73-0 ligand73-0
JABJUR,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand22438-0
CIJKIR,Zn,ligand17327-0 ligand17327-0
WILVOE,Pd,ligand27318-0 ligand27318-0
KABXIU,Co,ligand54-0 ligand54-0 ligand151-0 ligand151-0
NOKKOQ,Pd,ligand0-0 ligand0-0 ligand14709-0
MORZAW,Pd,ligand36-0 ligand91-0 ligand33600-0
JOFBOZ,Au,ligand0-0 ligand13352-0
NADNEP,Rh,ligand191-0 ligand23504-0
EQEBUA,Au,ligand4916-0 ligand4916-0
ZIHPAJ,Au,ligand0-0 ligand0-0 ligand0-0 ligand777-0
DANTER,Co,ligand6-0 ligand22-0 ligand13374-0
JAXNUR,Mn,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand36777-0
PASWOY,Pd,ligand28-0 ligand27819-0
QETJAB,Fe,ligand362-0 ligand362-0 ligand36039-0
TEKHUP,Zn,ligand31560-0 ligand31560-0
CUCWUU,Fe,ligand20-0 ligand20-0 ligand31228-0
LIXMUD,Ni,ligand120-0 ligand25556-0
RUFSUG,Rh,ligand6-0 ligand61-0 ligand1648-0
VUFDAE,Ti,ligand0-0 ligand22-0 ligand1022-0
JENJOC,Ti,ligand0-0 ligand347-0 ligand3246-0
FOBTEV,Co,ligand10-0 ligand11-0 ligand11-0 ligand24977-0
TANVEJ,Ni,ligand2001-0 ligand2001-0
XAXGOW,Pd,ligand60-0 ligand1597-0
NUCZUI,Cr,ligand11-0 ligand11-0 ligand11-0 ligand31605-0
NASHAR,Ru,ligand10-0 ligand52-0 ligand735-0
UQIZEC,Ni,ligand957-0 ligand19294-0
KIXMIO,Pt,ligand1504-0 ligand1504-0
EVOYOF,Pd,ligand28-0 ligand5031-0
KUJTOY,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand21118-0
KATDAK,Zr,ligand0-0 ligand22-0 ligand22-0 ligand15181-0
TIRPAP,Co,ligand22-0 ligand22430-0
RIHXIS,La,ligand10675-0 ligand10675-0 ligand10676-0
HIDFUW,Fe,ligand362-0 ligand362-0 ligand9073-0
HITBIX,Mo,ligand55-0 ligand55-0 ligand91-0 ligand6937-0
DAKKIN,V,ligand55-0 ligand55-0 ligand13792-0
JERXUA,Zn,ligand301-0 ligand301-0 ligand32240-0 ligand32240-0
QILDOI,Au,ligand0-0 ligand7671-0
NIQXER,Zn,ligand7717-0 ligand7717-0
YUMJUO,Zn,ligand4-0 ligand362-0 ligand16966-0
RAXQEM,Ru,ligand11-0 ligand22-0 ligand924-0 ligand36735-0
MIPKIH,Fe,ligand60-0 ligand60-0 ligand16894-0
XODVAN,Re,ligand55-0 ligand20372-0
QOZMUP,Mo,ligand55-0 ligand55-0 ligand91-0 ligand26007-0
DOYZEZ,Pd,ligand79-0 ligand205-0
HANPOD,Ta,ligand0-0 ligand0-0 ligand36-0 ligand36-0 ligand2023-0
BOHJEN,Pt,ligand0-0 ligand10-0 ligand17462-0
QEFMAS,Co,ligand7991-0 ligand28945-0
YAKTOV,Fe,ligand11-0 ligand52-0 ligand743-0 ligand1496-0
SEJREG,Pt,ligand20-0 ligand20-0 ligand3450-0
KECVAQ,Co,ligand1164-0 ligand1165-0 ligand1165-0 ligand1166-0
LATTUW,Pt,ligand0-0 ligand0-0 ligand13097-0
ZIGCIE,Mn,ligand11-0 ligand11-0 ligand11-0 ligand26792-0
VIRGEM,Ni,ligand37357-0
SERPIP,Pt,ligand0-0 ligand0-0 ligand10491-0 ligand10491-0
LILBIS,Cd,ligand17419-0 ligand17419-0
LAZXAM,Ni,ligand10-0 ligand1355-0
PEBJUC,Ru,ligand0-0 ligand16-0 ligand28-0 ligand6590-0
XORZAG,Pt,ligand36-0 ligand990-0 ligand1615-0 ligand3340-0
CAQJEL,V,ligand42-0 ligand55-0 ligand221-0 ligand1254-0
ZEYYEH,Mo,ligand55-0 ligand55-0 ligand36538-0 ligand36538-0
ECUGER,Zn,ligand0-0 ligand0-0 ligand8-0 ligand8794-0
IGOJEU,Pt,ligand301-0 ligand301-0 ligand3126-0 ligand3126-0
KIJMAS,Re,ligand55-0 ligand115-0 ligand26393-0
WEHVEL,Os,ligand28-0 ligand2395-0 ligand2395-0 ligand2395-0 ligand2395-0
QABRES,Rh,ligand0-0 ligand0-0 ligand1110-0
HISRAF,Cr,ligand1975-0 ligand14907-0 ligand14908-0
GAQHIP,Fe,ligand11-0 ligand11-0 ligand22-0 ligand32591-0
IDEKUY,Rh,ligand0-0 ligand11-0 ligand5651-0
IQUWUM,Cu,ligand38101-0
ZOMHOB,Au,ligand301-0 ligand1510-0
KEFYEZ,Pd,ligand0-0 ligand0-0 ligand112-0 ligand112-0
KIRTUB,Co,ligand47-0 ligand47-0 ligand47-0 ligand17379-0
YEHYUG,Ru,ligand11-0 ligand20-0 ligand28-0 ligand23542-0
DILTIE,Zn,ligand32327-0 ligand32327-0
IVAMOJ,Pd,ligand12-0 ligand7876-0
JAGNAH,Zn,ligand362-0 ligand362-0 ligand846-0 ligand846-0
PELQAC,Pt,ligand28-0 ligand13931-0
IRAKUJ,Au,ligand32777-0 ligand32777-0
WOCLEF,Pd,ligand0-0 ligand0-0 ligand1591-0 ligand1591-0
IHOLUP,Ag,ligand1902-0 ligand1902-0
VUKTUT,V,ligand55-0 ligand221-0 ligand6808-0 ligand6808-0
GAGCAT,Rh,ligand12-0 ligand12-0 ligand163-0 ligand6119-0
FIHJUD,Ag,ligand13544-0 ligand13544-0
UCILIE,Ni,ligand22958-0
OWIWEZ,Ta,ligand0-0 ligand55-0 ligand18849-0 ligand18850-0
OBICOV,Zn,ligand1720-0 ligand1720-0
ISIFAT,Au,ligand0-0 ligand0-0 ligand773-0
POMBUS,Pd,ligand93-0 ligand3330-0 ligand5222-0
GUKSIQ,Ti,ligand36-0 ligand36-0 ligand36-0 ligand9956-0
IHIZOR,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand13026-0
IFEZEZ,Re,ligand0-0 ligand0-0 ligand0-0 ligand55-0 ligand831-0
KELRID,Pd,ligand12-0 ligand12-0 ligand1857-0
FOQYAL,Pd,ligand0-0 ligand0-0 ligand2304-0
HAYVEM,Pd,ligand36-0 ligand1128-0
VAMSAD,Ir,ligand1-0 ligand1-0 ligand1-0 ligand1654-0
NETYUJ,Cd,ligand52-0 ligand1809-0
GISQEE,Zn,ligand362-0 ligand362-0 ligand20703-0
KUZNUR,Cu,ligand0-0 ligand30718-0
NEMXUC,Cu,ligand777-0 ligand2588-0
TCAMPT,Pt,ligand0-0 ligand0-0 ligand668-0 ligand668-0
DAPGUA,Au,ligand20-0 ligand20-0 ligand20-0 ligand12062-0
PESDAS,Re,ligand990-0 ligand1761-0 ligand1761-0 ligand1761-0
GULVUE,Rh,ligand191-0 ligand10673-0
NOKGUR,Pd,ligand0-0 ligand18109-0
VUDBOM,Co,ligand61-0 ligand31104-0
BIMRIY,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand26485-0
YAWJOW,Ru,ligand0-0 ligand0-0 ligand1435-0 ligand1435-0 ligand1435-0 ligand1435-0
PEMLIF,Ir,ligand191-0 ligand2349-0
GUZTUT,Co,ligand120-0 ligand4867-1
VOCLEF,Pt,ligand0-0 ligand0-0 ligand0-0 ligand91-0 ligand91-0 ligand3357-0
JOXDEH,Ta,ligand305-0 ligand305-0 ligand305-0 ligand305-0 ligand8877-0
YAGBEO,Zn,ligand0-0 ligand25189-0
PAMFEQ,Ru,ligand0-0 ligand0-0 ligand24-0 ligand7122-0
XEQXUN,Zn,ligand0-0 ligand0-0 ligand5879-0
BEDGIC,Rh,ligand191-0 ligand1707-0
KIRFIE,Pt,ligand161-0 ligand161-0 ligand7776-0
ABAFUF,Pd,ligand0-0 ligand0-0 ligand33251-0
DIBDOK,Pt,ligand20-0 ligand36-0 ligand36-0 ligand8638-0 ligand24280-0
HABQEG,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand6814-0
ZORJOH,Pd,ligand0-0 ligand2519-0 ligand16869-0
UNUKIZ,Ni,ligand245-0 ligand245-0 ligand8037-0
FACHOG,Pd,ligand0-0 ligand0-0 ligand9154-0
DOZVAR,Hf,ligand0-0 ligand0-0 ligand10380-0 ligand10380-0
UWOPIG,Re,ligand136-0 ligand22047-0 ligand22047-0 ligand22047-0 ligand22047-0
HIDMIR,Re,ligand0-0 ligand0-0 ligand55-0 ligand28094-0
DUFHIV,Ru,ligand0-0 ligand24-0 ligand9871-0
NOYKER,Fe,ligand2456-0 ligand9547-0
SUGLIR,Ni,ligand124-0 ligand924-0 ligand924-0 ligand10537-0
WODBIC,Rh,ligand711-0 ligand8697-0
FAHYOE,Ru,ligand61-0 ligand2349-0
ACOXEX,Pt,ligand28-0 ligand28-0 ligand103-0 ligand103-0
VACMIY,Zn,ligand65-0 ligand65-0 ligand1414-0
HOXTIX,Ti,ligand90-0 ligand90-0 ligand27129-0
WUTDIY,Fe,ligand6-0 ligand6-0 ligand8082-0
QOYDOZ,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand2469-0 ligand2469-0
FEYVEL,Zn,ligand0-0 ligand0-0 ligand8411-0
VOTSOM,Fe,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand19144-0
ZEXMEX,Mo,ligand55-0 ligand55-0 ligand11717-0
PAXJUX,Ni,ligand59-0 ligand1044-0 ligand4853-0
AZITAE,Pd,ligand0-0 ligand27272-0
QEHTAC,Fe,ligand0-0 ligand0-0 ligand34179-0
CFPYPD,Pd,ligand0-0 ligand0-0 ligand28244-0 ligand28244-0
PULCIL,Ni,ligand636-0 ligand15323-0
NOMHAY,Ru,ligand11-0 ligand60-0 ligand98-0 ligand1351-0
HAGYIA,Re,ligand0-0 ligand0-0 ligand28-0 ligand55-0 ligand12473-0
GAMHOU,Cu,ligand20-0 ligand2531-0
FAYKIA,Cd,ligand29-0 ligand29-0 ligand47-0 ligand47-0
MONDAV,Ir,ligand6-0 ligand6-0 ligand6-0 ligand52-0 ligand35513-0
EHURUV,Pt,ligand0-0 ligand13404-0
KEHNER,Co,ligand10637-0 ligand10637-0
PIXGEI,Cr,ligand11-0 ligand11-0 ligand11-0 ligand5774-0
YERQAO,Pd,ligand59-0 ligand20254-0 ligand34386-0
GOZVIA,Pd,ligand103-0 ligand583-0 ligand17862-0
NARRAZ,Ni,ligand1032-0 ligand11137-0
QEZZIG,Re,ligand11-0 ligand11-0 ligand11-0 ligand21723-0
HOBPIX,Rh,ligand0-0 ligand11-0 ligand16816-0
LALVUT,Au,ligand0-0 ligand9688-0
LAXGOG,Mn,ligand11-0 ligand22-0 ligand28-0 ligand38222-0
ZUNDAP,Ir,ligand0-0 ligand61-0 ligand14300-0
WANVAM,Pt,ligand1366-0 ligand7234-0
JEHPOB,Pt,ligand0-0 ligand14-0 ligand2448-0
YEYPEY,Fe,ligand8-0 ligand8-0 ligand12950-0 ligand12950-0
SIWCIL,Pd,ligand28-0 ligand59-0 ligand6809-0
GEYJUP,Mo,ligand55-0 ligand56-0 ligand115-0 ligand115-0 ligand115-0 ligand3445-0
LOPKOR,Cd,ligand0-0 ligand17595-0
ZAFCUE,Pd,ligand0-0 ligand91-0 ligand13836-0
YAKCAP,Pd,ligand0-0 ligand251-0 ligand2778-0
VERBAX,Pd,ligand47-0 ligand131-0 ligand11997-0
ICUDIU,Zn,ligand4546-0 ligand4998-0
MAFFOP,Ru,ligand0-0 ligand16-0 ligand2193-0 ligand2193-0
YUGDIO,Fe,ligand11-0 ligand22-0 ligand21796-0
UVUHAX,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand25253-0
ELITID,Ni,ligand91-0 ligand14719-0
FEWVEI,Ru,ligand0-0 ligand22-0 ligand17005-0
NINDAT,Re,ligand8-0 ligand11-0 ligand11-0 ligand11-0 ligand78-0
UROSUQ,Zr,ligand393-0 ligand864-0 ligand6157-0
WUDLAI,Ir,ligand61-0 ligand18379-0
VEJLUS,Fe,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand4193-0
AQERIY,Ru,ligand0-0 ligand0-0 ligand464-0 ligand37516-0
TPFECO,Co,ligand11-0 ligand11-0 ligand11-0 ligand28-0 ligand9206-0
BEXWIM,Ti,ligand0-0 ligand0-0 ligand0-0 ligand19551-0
UNILIN,Ni,ligand12-0 ligand12-0 ligand76-0 ligand76-0
CINWIG,Cu,ligand59-0 ligand626-0
AGOKEN,Ir,ligand17-0 ligand6546-0 ligand6547-0
HOVCIG,Ru,ligand0-0 ligand24-0 ligand31827-0
FEHJOS,Rh,ligand0-0 ligand191-0 ligand12504-0
SASWIV,Ni,ligand22-0 ligand659-0 ligand5010-0
HEPREZ,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand37434-0
KIJCOW,Mo,ligand55-0 ligand55-0 ligand10645-0 ligand10645-0
BITVUZ,Zn,ligand23983-0 ligand23983-0
POKZAU,Au,ligand52-0 ligand2882-0
HECHOQ,Pd,ligand20-0 ligand20-0 ligand2953-0 ligand2953-0
KEZWOD,Rh,ligand0-0 ligand191-0 ligand34284-0
OVAHOK,Ru,ligand0-0 ligand24-0 ligand28107-0
XIRTEZ,Au,ligand0-0 ligand11635-0
PUBSOU,Mo,ligand0-0 ligand22-0 ligand22-0 ligand10364-0
KADPUD,V,ligand55-0 ligand9812-0
JAZDOE,Os,ligand52-0 ligand827-0 ligand924-0 ligand12323-0
GIQNIG,Pt,ligand19295-0
SIRKEJ,Rh,ligand8-0 ligand472-0 ligand933-0 ligand1188-0 ligand5222-0
CIFTIV,Au,ligand0-0 ligand32003-0
NAWMON,Ti,ligand61-0 ligand61-0 ligand695-0 ligand3038-0
XULPUP,Ag,ligand1093-0 ligand2385-0
INOWIS,Au,ligand583-0 ligand777-0
KAZZEU,Pt,ligand15694-0 ligand15694-0
USOCIQ,Au,ligand20711-0 ligand20711-0
MOMQEK,Hf,ligand0-0 ligand0-0 ligand37143-0
QOJNAE,V,ligand42-0 ligand55-0 ligand221-0 ligand17593-0
DAHPOT,Pd,ligand251-0 ligand16198-0
HIJMIW,Re,ligand11-0 ligand11-0 ligand11-0 ligand198-0 ligand198-0 ligand198-0
